id,longitude,latitude,service_time,station_name,station_type
0,12.823845,49.245077,0,Zenching,SYSTEM
1,12.82378,49.244955,0,Zenching,SYSTEM
2,12.812167,49.267785,0,Abzweigung Grasfilzing,SYSTEM
3,12.812002,49.267252,0,Abzweigung Grasfilzing,SYSTEM
4,12.805663,49.258385,0,Nösswartling FWH,SYSTEM
5,12.805642,49.258165,0,Nösswartling FWH,SYSTEM
6,12.823917,49.246697,0,Zenching Schulbus,SYSTEM
7,12.8412,49.249675,0,Abzweigung Kalkofen,SYSTEM
8,12.811883,49.274152,0,Arnschwang Bahnhof,SYSTEM
9,12.814288,49.273332,0,Arnschwang,SYSTEM
10,12.81495,49.273418,0,Arnschwang,SYSTEM
11,13.009448,49.20528,0,Haibühl Ortsmitte,SYSTEM
12,13.009245,49.205145,0,Haibühl Ortsmitte,SYSTEM
13,13.003148,49.203662,0,Abzweigung Ottenzell,SYSTEM
14,13.003172,49.20388,0,Abzweigung Ottenzell,SYSTEM
15,12.99187,49.208193,0,Ottenzell,SYSTEM
16,12.9814,49.206087,0,Auhof,SYSTEM
17,13.00224,49.19569,0,Bahnhof,SYSTEM
18,13.002545,49.195942,0,Bahnhof,SYSTEM
19,12.986112,49.195803,0,Siedlung,SYSTEM
20,12.986442,49.195853,0,Siedlung,SYSTEM
21,12.995272,49.192818,0,Tourist Info,SYSTEM
22,12.978223,49.196895,0,Vogelwiese,SYSTEM
23,12.97793,49.19726,0,Vogelwiese,SYSTEM
24,12.990063,49.164078,0,Eck,SYSTEM
25,12.990025,49.163902,0,Eck,SYSTEM
26,13.003922,49.188965,0,Sport Geiger,SYSTEM
27,13.013807,49.205755,0,Irlsaign,SYSTEM
28,13.013807,49.205755,0,Irlsaign,SYSTEM
29,12.966463,49.20463,0,Feriendorf Hohen Bogen,SYSTEM
30,12.958197,49.202352,0,Abzweigung Grossmühle,SYSTEM
31,13.00575,49.202048,0,Haibühl Schule,SYSTEM
32,12.82585,49.158635,0,Pulling,SYSTEM
33,12.82557,49.158625,0,Pulling,SYSTEM
34,12.808077,49.16115,0,Kreuzbach,SYSTEM
35,12.80785,49.161188,0,Kreuzbach,SYSTEM
36,12.83054,49.159865,0,Abzweigung Gmündt,SYSTEM
37,12.663122,49.225295,0,"Cham, Katzb. Str., Cafe Frizz",SYSTEM
38,12.666087,49.218162,0,"Cham, Marktplatz",SYSTEM
39,12.664553,49.219442,0,"Cham, Steinmarkt",SYSTEM
40,12.651652,49.227817,0,"Cham, Bergh.str./Kopfsteinstr.",SYSTEM
41,12.656408,49.222362,0,"Cham, Bahnhof",SYSTEM
42,12.65234,49.225092,0,"Cham, W.Schmidb-Str./Gartenstr",SYSTEM
43,12.655817,49.226235,0,"Cham, Kirchplatz, St. Josef",SYSTEM
44,12.655618,49.226482,0,"Cham, Kirchplatz, St. Josef",SYSTEM
45,12.654583,49.227993,0,"Cham, Bergh.str./Dr.Lagallystr",SYSTEM
46,12.659845,49.224405,0,"Cham, Bgm.-Vogel-Str./Abzw KH",SYSTEM
47,12.661863,49.222713,0,"Cham, Seniorenheim St. Michael",SYSTEM
48,12.676245,49.231483,0,"Cham, Mittelschule",SYSTEM
49,12.664138,49.225463,0,"Cham, Fraunhofer-Gymnasium",SYSTEM
50,12.668415,49.227473,0,"Cham, Kzg Brantl-Weg/Danz.Str.",SYSTEM
51,12.670407,49.228065,0,"Cham, Nunsting",SYSTEM
52,12.670773,49.225333,0,"Cham, Landratsamt",SYSTEM
53,12.670485,49.225372,0,"Cham, Landratsamt",SYSTEM
54,12.674673,49.224797,0,"Cham, Further Str./Gibachtstr.",SYSTEM
55,12.677797,49.226232,0,"Cham, Chambstr. (Siechen)",SYSTEM
56,12.679207,49.224857,0,"Cham, Chambstr./Abz. Wiesenw.",SYSTEM
57,12.673818,49.22333,0,"Cham, Altenstadter Str.",SYSTEM
58,12.669868,49.222077,0,"Cham, Further Str. (Sparkasse)",SYSTEM
59,12.668257,49.218682,0,"Cham, Floßhafen",SYSTEM
60,12.666553,49.21726,0,"Cham, Lucknerstr.",SYSTEM
61,12.650357,49.22711,0,"Cham, Katzb. Str., Fa.Hutterer",SYSTEM
62,12.663011,49.202264,0,"Cham, Abzw. Altenmarkt",SYSTEM
63,12.64903,49.22774,0,"Cham, Katzb. Str./ Westendstr.",SYSTEM
65,12.6645,49.201717,0,"Cham, Mittelweg, Frey Wohnen",SYSTEM
66,12.669467,49.203163,0,"Cham, Janahof, Abzw. Vilzingerstr.",SYSTEM
67,12.66958,49.2063,0,"Cham, Janahof, Abz. Finkenstr.",SYSTEM
68,12.632862,49.237247,0,Loibling Abzweigung Stamsrieder Straße,SYSTEM
69,12.635635,49.215845,0,"Cham, Michelsdorf, Ortsmitte",SYSTEM
70,12.631342,49.212648,0,"Cham, Michelsdorf, Arnulfstr",SYSTEM
73,12.659845,49.224405,0,"Cham, Altenm., Klostermühle",SYSTEM
74,12.625781,49.193119,0,"Cham, Brunn",SYSTEM
75,12.651708,49.245238,0,"Cham, Wackerling, Ortsmitte",SYSTEM
76,12.659118,49.232257,0,"Cham, Katzberg, Anw. Haimerl",SYSTEM
78,12.65931,49.22321,0,"Cham, Postamt",SYSTEM
79,12.660075,49.22244,0,"Cham, Stadtpark",SYSTEM
80,12.664567,49.224015,0,"Cham, Dr. Muggenthaler Str.",SYSTEM
81,12.661335,49.224472,0,"Cham, Abzw. Kalvarienbergweg",SYSTEM
82,12.647792,49.202023,0,"Haidhäuser, von-Pfeilsch.-Str",SYSTEM
83,12.637617,49.202807,0,"Cham, Haidhäuser, Ruckfeldweg",SYSTEM
84,12.637808,49.202748,0,"Cham, Haidhäuser, Ruckfeldweg",SYSTEM
85,12.712657,49.184465,0,Haderstadl Ortsmitte,SYSTEM
86,12.701603,49.18894,0,Kühberg,SYSTEM
87,12.689367,49.193288,0,Gutmaning Ortsmitte,SYSTEM
88,12.692803,49.199313,0,Hof Weiher,SYSTEM
89,12.695607,49.208527,0,Chammünster Schule,SYSTEM
90,12.715165,49.186903,0,Hilm,SYSTEM
91,12.621861,49.19705,0,"Cham, Stadl",SYSTEM
92,12.56928,49.21488,0,Wulfing,SYSTEM
93,12.617393,49.235442,0,Ponholzmühle,SYSTEM
94,12.617862,49.23571,0,Ponholzmühle,SYSTEM
95,12.63092,49.23715,0,"Cham, Loibling, Siedlung",SYSTEM
96,12.63092,49.23715,0,"Cham, Loibling, Siedlung",SYSTEM
98,12.641702,49.235982,0,"Cham, Katzbach",SYSTEM
99,12.64186,49.235848,0,"Cham, Katzbach",SYSTEM
100,12.644337,49.191848,0,"Cham, Scharlau",SYSTEM
101,12.644382,49.192123,0,"Cham, Scharlau",SYSTEM
103,12.697825,49.209233,0,Chammünster Untere Schulstraße,SYSTEM
